"Questionnaire","Item","Category1","Category2","Category3","Category4","Category5","Category6"
"Automatic thought Questionnaire","24.I’ll never make it.","Motivation","Cognition",NA,NA,NA,NA
"Automatic thought Questionnaire","25.I feel so helpless.","Affect","Self",NA,NA,NA,NA
"Automatic thought Questionnaire","26.Something has to change.","Context","Motivation",NA,NA,NA,NA
"Automatic thought Questionnaire","27.There must be something wrong with me.","Self","Cognition",NA,NA,NA,NA
"Automatic thought Questionnaire","28.My future is bleak.","Cognition","Affect",NA,NA,NA,NA
"Automatic thought Questionnaire","29.It’s just not worth it.","Motivation","Affect",NA,NA,NA,NA
"Automatic thought Questionnaire","30.I can’t finish anything.","Overt Behavior","Cognition",NA,NA,NA,NA
"Working alliance questionnaire","""I feel uncomfortable with my therapist.""","Affect","Context",NA,NA,NA,NA
"Working alliance questionnaire","""My therapist and I agree about the things I will need to do in therapy to help improve my situation.""","Cognition","Motivation",NA,NA,NA,NA
"Working alliance questionnaire","""I am worried about the outcome of these sessions.""","Affect","Attention",NA,NA,NA,NA
"Working alliance questionnaire","""My therapist and I understand each other.""","Cognition","Context",NA,NA,NA,NA
"Working alliance questionnaire","""My therapist perceives accurately what my goals are.""","Cognition","Motivation",NA,NA,NA,NA
"Working alliance questionnaire","""I find what I am doing in therapy confusing.""","Cognition","Affect",NA,NA,NA,NA
"Working alliance questionnaire","""I believe my therapist likes me.""","Cognition","Context",NA,NA,NA,NA
"Working alliance questionnaire","""I wish my therapist and I could clarify the purpose of our sessions.""","Cognition","Motivation",NA,NA,NA,NA
"Working alliance questionnaire","""I disagree with my therapist about what I ought to get out of therapy.""","Cognition","Motivation",NA,NA,NA,NA
"Working alliance questionnaire","""I believe the time my therapist and I are spending together is not spent efficiently.""","Cognition","Context",NA,NA,NA,NA
"Working alliance questionnaire","""My therapist does not understand what I am trying to accomplish in therapy.""","Cognition","Motivation",NA,NA,NA,NA
"Working alliance questionnaire","""I am clear on what my responsibilities are in therapy.""","Cognition","Motivation",NA,NA,NA,NA
"Working alliance questionnaire","""The goals of these sessions are important to me.""","Motivation","Cognition",NA,NA,NA,NA
"Working alliance questionnaire","""I find what my therapist and I are doing in therapy are unrelated to my concerns.""","Cognition","Context",NA,NA,NA,NA
"Working alliance questionnaire","""I feel that the things I do in therapy will help me to accomplish the changes that I want.""","Cognition","Motivation",NA,NA,NA,NA
"Working alliance questionnaire","""I believe my therapist is genuinely concerned for my welfare.""","Cognition","Context",NA,NA,NA,NA
"Working alliance questionnaire","""I am clear as to what my therapist wants me to do in these sessions.""","Cognition","Motivation",NA,NA,NA,NA
"Working alliance questionnaire","""My therapist and I respect each other.""","Cognition","Context",NA,NA,NA,NA
"Working alliance questionnaire","""I feel that my therapist is not totally honest about his/her feelings toward me.""","Affect","Context",NA,NA,NA,NA
"Working alliance questionnaire","""I am confident in my therapist's ability to help me.""","Cognition","Motivation",NA,NA,NA,NA
"Working alliance questionnaire","""My therapist and I are working towards mutually agreed upon goals.""","Motivation","Cognition",NA,NA,NA,NA
"Working alliance questionnaire","""I feel that my therapist appreciates me.""","Affect","Context",NA,NA,NA,NA
"Working alliance questionnaire","""We agree on what is important for me to work on.""","Motivation","Cognition",NA,NA,NA,NA
"Working alliance questionnaire","""As a result of these sessions, I am clearer as to how I might be able to change.""","Cognition","Motivation",NA,NA,NA,NA
"Working alliance questionnaire","""My therapist and I trust one another.""","Cognition","Context",NA,NA,NA,NA
"Working alliance questionnaire","""My therapist and I have different ideas on what my problems are.""","Cognition","Context",NA,NA,NA,NA
"Working alliance questionnaire","""My relationship with my therapist is very important to me.""","Cognition","Context",NA,NA,NA,NA
"Working alliance questionnaire","""I have the feeling that if I say or do the wrong things, my therapist will stop working with me.""","Affect","Context",NA,NA,NA,NA
"Working alliance questionnaire","""My therapist and I collaborate on setting goals for my therapy.""","Cognition","Motivation",NA,NA,NA,NA
"Working alliance questionnaire","""I am frustrated by the things I am doing in therapy.""","Affect","Cognition",NA,NA,NA,NA
"Working alliance questionnaire","""We have established a good understanding of the kind of changes that would be good for me.""","Cognition","Motivation",NA,NA,NA,NA
"Working alliance questionnaire","""The things that my therapist is asking me to do don't make sense.""","Cognition","Affect",NA,NA,NA,NA
"Working alliance questionnaire","""I don't know what to expect as the result of my therapy.""","Cognition","Attention",NA,NA,NA,NA
"Working alliance questionnaire","""I believe the way we are working with my problem is correct.""","Cognition","Motivation",NA,NA,NA,NA
"Working alliance questionnaire","""I feel my therapist cares about me even when I do things that he/she does not approve of.""","Affect","Context",NA,NA,NA,NA
"Working alliance questionnaire","""What I am doing in therapy gives me new ways of looking at my problem.""","Cognition","Motivation ",NA,NA,NA,NA
"Cope reappraisal hardship",".""When coping with a hardship in my life, I have been trying to get advice or help from other people about what to do.""","Overt Behavior","Context",NA,NA,NA,NA
"Cope reappraisal hardship","""When coping with a hardship in my life, I have been getting comfort and understanding from someone.""","Overt Behavior","Context",NA,NA,NA,NA
"Cope reappraisal hardship","""When coping with a hardship in my life, I have been getting emotional support from others.""","Overt Behavior","Context",NA,NA,NA,NA
"Cope reappraisal hardship","""When coping with a hardship in my life, I have been concentrating my efforts on doing something about the situation I’m in.""","Overt Behavior","Motivation",NA,NA,NA,NA
"Cope reappraisal hardship","""When coping with a hardship in my life, I have been taking action to try to make the situation better.""","Overt Behavior","Motivation",NA,NA,NA,NA
"Cope reappraisal hardship","""When coping with a hardship in my life, I have been trying to come up with a strategy about what to do.""","Cognition","Overt Behavior",NA,NA,NA,NA
"Cope reappraisal hardship","""When coping with a hardship in my life, I have been thinking hard about what steps to take.""","Cognition","Overt Behavior",NA,NA,NA,NA
"Cope reappraisal hardship","""When coping with a hardship in my life, I have been accepting the reality of the fact that it has happened.""","Cognition","Self",NA,NA,NA,NA
"Cope reappraisal hardship","""When coping with a hardship in my life, I have been learning to live with it.""","Cognition","Self",NA,NA,NA,NA
"Cope reappraisal hardship","""When coping with a hardship in my life, I have been turning to work or other activities to take my mind off things.""","Attention","Overt Behavior",NA,NA,NA,NA
"Cope reappraisal hardship","""When coping with a hardship in my life, I have been doing something to think about it less, such as going to movies, watching TV, reading, daydreaming, sleeping, or shopping.""","Attention","Overt Behavior",NA,NA,NA,NA
"Cope reappraisal hardship","""When coping with a hardship in my life, I have been saying to myself “this is not real.""""","Cognition","Self",NA,NA,NA,NA
"Cope reappraisal hardship","""When coping with a hardship in my life, I have been refusing to believe that it has happened.""","Cognition","Self",NA,NA,NA,NA
"Cope reappraisal hardship","""When coping with a hardship in my life, I have been making jokes about it.""","Affect","Overt Behavior",NA,NA,NA,NA
"Cope reappraisal hardship","""When coping with a hardship in my life, I have been making fun of the situation.""","Affect","Overt Behavior",NA,NA,NA,NA
"Cope reappraisal hardship","""When coping with a hardship in my life, I have been criticizing myself.""","Self","Affect",NA,NA,NA,NA
"Cope reappraisal hardship","""When coping with a hardship in my life, I have been blaming myself for things that happened.""","Self","Affect",NA,NA,NA,NA
"Cope reappraisal hardship","""When coping with a hardship in my life, I have been giving up trying to deal with it.""","Motivation","Overt Behavior",NA,NA,NA,NA
"Cope reappraisal hardship","""When coping with a hardship in my life, I have been giving up the attempt to cope.""","Motivation","Overt Behavior",NA,NA,NA,NA
"Cope reappraisal hardship","""When coping with a hardship in my life, I have been saying things to let my unpleasant feelings escape.""","Affect","Overt Behavior",NA,NA,NA,NA
"Cope reappraisal hardship","""When coping with a hardship in my life, I have been expressing my negative feelings.""","Affect","Overt Behavior",NA,NA,NA,NA
"Cope reappraisal hardship","""When coping with a hardship in my life, I have been trying to see it in a different light, to make it seem more positive.""","Cognition","Affect",NA,NA,NA,NA
"Cope reappraisal hardship","""When coping with a hardship in my life, I have been looking for something good in what is happening.""","Cognition","Affect",NA,NA,NA,NA
"Cope reappraisal hardship","""When coping with a hardship in my life, I have been using alcohol or other drugs to make myself feel better.""","Overt Behavior","Affect",NA,NA,NA,NA
"Cope reappraisal hardship","""When coping with a hardship in my life, I have been using alcohol or other drugs to help me get through it.""","Overt Behavior","Affect",NA,NA,NA,NA
"Cope reappraisal hardship","""When coping with a hardship in my life, I have been trying to find comfort in my religion or spiritual beliefs.""","Cognition","Self",NA,NA,NA,NA
"Cope reappraisal hardship","""When coping with a hardship in my life, I have been praying or meditating.""","Overt Behavior","Self ",NA,NA,NA,NA
"Coping with urge to smoke marijuana","""1.I engage in some physical activity when I get the urge to smoke marijuana.""","Overt Behavior","Motivation",NA,NA,NA,NA
"Coping with urge to smoke marijuana","""2.to cope with my urge to smoke marijuana, I stop to think about how my marijuana use is hurting people around me.""","Cognition","Affect","Context",NA,NA,NA
"Coping with urge to smoke marijuana","""3.to cope with my urge to smoke marijana, I leave places where people are using marijuana.""","Overt Behavior","Context",NA,NA,NA,NA
"Coping with urge to smoke marijuana","""4.to cope with my urge to smoke marijana, I try to remind myself of the good things I have accomplished.""","Cognition","Self","Motivation ",NA,NA,NA
"Coping with pain","""When I am in pain, I feel I can’t stand it anymore.""","Affect","Self",NA,NA,NA,NA
"Coping with pain","""When I am in pain, it's awful and I feel that it overwhelms me.""","Affect","Self",NA,NA,NA,NA
"Coping with pain","""When I am in pain, it's terrible and I feel it’s never going to get any better.""","Affect","Cognition",NA,NA,NA,NA
"Coping with pain","""When I am in pain, I worry all the time about whether it will end. I feel my life isn’t worth living.""","Affect","Cognition","Self",NA,NA,NA
"Coping with pain","""When I am in pain, I do something I enjoy, such as watching TV or listening to music.""","Overt Behavior","Attention",NA,NA,NA,NA
"Coping with pain","""When I am in pain, I feel my life isn’t worth living.""","Affect","Self",NA,NA,NA,NA
"Coping with pain","""When I am in pain, I leave the house and do something, such as going to the movies or shopping.""","Overt Behavior","Attention",NA,NA,NA,NA
"Coping with pain","""When I am in pain, I count numbers in my head or run a song through my mind.""","Attention","Overt Behavior",NA,NA,NA,NA
"Coping with pain","""When I am in pain, I play mental games with myself to keep my mind off the pain.""","Attention","Overt Behavior",NA,NA,NA,NA
"Coping with pain","""When I am in pain, I walk a lot.""","Overt Behavior",NA,NA,NA,NA,NA
"Coping with pain","""When I am in pain, I try to be around other people.""","Overt Behavior","Context",NA,NA,NA,NA
"Coping with pain","""When I am in pain, I tell myself to be brave and to carry on despite the pain.""","Cognition","Self",NA,NA,NA,NA
"Coping with pain","""When I am in pain, I tell myself I can’t let the pain stand in the way of what I have to do.""","Cognition","Self","Motivation",NA,NA,NA
"Coping with pain","""When I am in pain, I see it as a challenge and don’t let it bother me.""","Cognition","Self",NA,NA,NA,NA
"Coping with pain","""When I am in pain, I tell myself that I can overcome the pain.""","Cognition","Self",NA,NA,NA,NA
"Coping with pain","""When I am in pain, no matter how bad it gets, I know I can handle it.""","Cognition","Self",NA,NA,NA,NA
"Coping with pain","""When I am in pain, although it hurts, I just keep on going.""","Self","Overt Behavior",NA,NA,NA,NA
"Coping with pain","""When I am in pain, I just go on as if nothing happened.""","Self","Overt Behavior",NA,NA,NA,NA
"Coping with pain","""When I am in pain, I lie down.""","Overt Behavior",NA,NA,NA,NA,NA
"Coping with pain","""When I am in pain, I do something active, like household chores or projects.""","Overt Behavior","Attention",NA,NA,NA,NA
"Coping with pain","""When I am in pain, I don’t think about the pain.""","Attention",NA,NA,NA,NA,NA
"Coping with pain","""When I am in pain, I don’t pay any attention to it.""","Attention",NA,NA,NA,NA,NA
"Coping with pain","""When I am in pain, I ignore it.""","Attention",NA,NA,NA,NA,NA
"Coping with pain","""When I am in pain, I imagine that the pain is outside of my body.""","Cognition","Self",NA,NA,NA,NA
"Coping with pain","""When I am in pain, I try not to think of it as my body but rather as something separate from me.""","Cognition","Self",NA,NA,NA,NA
"Coping with pain","""When I am in pain, I pretend it’s not a part of me.""","Cognition","Self",NA,NA,NA,NA
"Coping with pain","""When I am in pain, I try to feel distant from the pain, almost as if the pain was in somebody else’s body.""","Cognition","Self",NA,NA,NA,NA
"Coping with pain","""When I am in pain, I pretend it’s not there.""","Cognition","Attention",NA,NA,NA,NA
"Coping with pain","""When I am in pain, I tell myself it doesn’t hurt.""","Cognition","Self",NA,NA,NA,NA
"Coping with pain","""When I am in pain, I feel like I can’t go on.""","Affect","Self ",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, bargained or compromised to get something positive from the situation.""","Motivation","Overt Behavior",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, counted my blessings.""","Attention","Cognition",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, blamed myself.""","Self","Affect",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, concentrated on something good that could come out of the whole thing.""","Attention","Cognition",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, kept feelings to myself.""","Affect","Self",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, made sure I'm responding in a way that doesn’t alienate others.""","Overt Behavior","Self",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, figured out who to blame.""","Cognition","Affect",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, hoped a miracle would happen.""","Motivation","Attention",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, tried to get centered before taking any action.""","Self","Attention",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, talked to someone about how I’ve been feeling.""","Overt Behavior","Affect",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, stood my ground and fought for what I wanted.""","Overt Behavior","Motivation",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, refused to believe that it had happened.""","Cognition","Affect",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, treated myself to something really tasty.""","Overt Behavior","Self",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, criticized or lectured myself.""","Self","Affect",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, took it out on others.""","Overt Behavior","Affect",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, came up with a couple of different solutions to my problem.""","Cognition","Overt Behavior",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, wished I were a stronger person—more optimistic and forceful.""","Self","Motivation",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, accepted my strong feelings, but not let them interfere with other things too much.""","Affect","Self",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, focused on the good things in my life.""","Attention","Cognition",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, wished that I could change the way that I felt.""","Affect","Self",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, found something beautiful to look at to make me feel better.""","Attention","Affect",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, changed something about myself so that I could deal with the situation better.""","Self","Overt Behavior",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, focused on the good aspects of my life and gave less attention to negative thoughts or feelings.""","Attention","Cognition",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, got mad at the people or things that caused the problem.""","Affect","Cognition",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, felt bad that I couldn't avoid the problem.""","Affect","Cognition",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, tried to distract myself by getting active.""","Overt Behavior","Attention",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, been aware of what has to be done, so I've been doubling my efforts and trying harder to make things work.""","Motivation","Overt Behavior",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, thought that others were unfair to me.""","Cognition","Affect",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, soothed myself by surrounding myself with a nice fragrance of some kind.""","Self","Attention",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, blamed others.""","Affect","Cognition",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, listened to or played music that I found relaxing.""","Self","Attention",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, gone on as if nothing had happened.""","Cognition","Attention",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, accepted the next best thing to what I wanted.""","Motivation","Cognition",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, told myself things could be worse.""","Cognition","Self",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, occupied my mind with something else.""","Attention","Cognition",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, talked to someone who could do something concrete about the problem.""","Overt Behavior","Motivation",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, tried to make myself feel better by eating, drinking, smoking, taking medications, etc.""","Self","Overt Behavior",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, tried not to act too hastily or follow my own hunch.""","Self","Cognition",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, changed something so things would turn out right.""","Overt Behavior","Motivation",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, pampered myself with something that felt good to the touch (e.g., a bubble bath or a hug).""","Self","Overt Behavior",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, avoided people.""","Overt Behavior","Affect",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, thought how much better off I was than others.""","Cognition","Self",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, just took things one step at a time.""","Overt Behavior","Motivation",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, did something to feel a totally different Affect (like going to a funny movie).""","Overt Behavior","Affect",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, wished the situation would go away or somehow be finished.""","Cognition","Affect",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, kept others from knowing how bad things were.""","Self","Overt Behavior",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, focused my energy on helping others.""","Motivation","Overt Behavior",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, found out what other person was responsible.""","Cognition","Overt Behavior",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, made sure to take care of my body and stay healthy so that I was less emotionally sensitive.""","Self","Overt Behavior",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, told myself how much I had already accomplished.""","Self","Cognition",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, made sure I respond in a way so that I could still respect myself afterwards.""","Self","Overt Behavior",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, wished that I could change what had happened.""","Cognition","Affect",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, made a plan of action and followed it.""","Overt Behavior","Motivation",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, talked to someone to find out about the situation.""","Overt Behavior","Cognition",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, avoided my problem.""","Overt Behavior","Affect",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, stepped back and tried to see things as they really are.""","Cognition","Self",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, compared myself to others who are less fortunate.""","Cognition","Self",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, increased the number of pleasant things in my life so that I had a more positive outlook.""","Self","Attention",NA,NA,NA,NA
"DBT ways of coping","""In order to cope, tried not to burn my bridges behind me, but leave things open somewhat.""","Overt Behavior","Cognition ",NA,NA,NA,NA
"Self-regulation for eating scale","1.""I make formal agreements with myself regarding my eating.""","Self","Overt Behavior",NA,NA,NA,NA
"Self-regulation for eating scale","2.""I schedule my time to eat.""","Overt Behavior",NA,NA,NA,NA,NA
"Self-regulation for eating scale","3.""I say positive things to myself about eating well.""","Self","Cognition",NA,NA,NA,NA
"Self-regulation for eating scale","4.""I set eating goals.""","Motivation","Overt Behavior",NA,NA,NA,NA
"Self-regulation for eating scale","5.""I choose healthy foods that are enjoyable to me.""","Overt Behavior","Self",NA,NA,NA,NA
"Self-regulation for eating scale","6.""I keep a record of my eating.""","Overt Behavior","Attention",NA,NA,NA,NA
"Self-regulation for eating scale","7.""I try to recruit others to support my eating plans.""","Context","Overt Behavior",NA,NA,NA,NA
"Self-regulation for eating scale","8.""I reward myself for eating appropriately.""","Motivation","Self",NA,NA,NA,NA
"Self-regulation for eating scale","9.""When I get off-track with my eating plans, I work to quickly get back to my routine.""","Overt Behavior","Self",NA,NA,NA,NA
"Self-regulation for eating scale","10.""I purposefully address my barriers to eating appropriately.""","Overt Behavior","Cognition","Motivation",NA,NA,NA
"Difficulty in emotion regulation scale","1.I am clear about my feeling.","Affect","Self",NA,NA,NA,NA
"Difficulty in emotion regulation scale","2.I pay attention to how I feel.","Attention","Affect",NA,NA,NA,NA
"Difficulty in emotion regulation scale","3.I experience my emotions as overwhelming and out of control.","Affect","Self",NA,NA,NA,NA
"Difficulty in emotion regulation scale","4.I have no idea how I am feeling.","Affect","Self",NA,NA,NA,NA
"Difficulty in emotion regulation scale","5.I have difficulty making sense out of my feelings .","Affect","Cognition",NA,NA,NA,NA
"Difficulty in emotion regulation scale","6.I am attentive to my feelings.","Attention","Affect",NA,NA,NA,NA
"Difficulty in emotion regulation scale","7.I know exactly how I am feeling.","Affect","Self",NA,NA,NA,NA
"Difficulty in emotion regulation scale","8.I care about what I am feeling.","Affect","Self",NA,NA,NA,NA
"Difficulty in emotion regulation scale","9.I am confused about how I feel.","Affect","Cognition",NA,NA,NA,NA
"Difficulty in emotion regulation scale","10.When I’m upset, I acknowledge my emotions.","Affect","Self",NA,NA,NA,NA
"Difficulty in emotion regulation scale","11. When I’m upset, I become angry with myself for feeling that way","Affect","Self",NA,NA,NA,NA
"Difficulty in emotion regulation scale","12.When I’m upset, I become embarrassed for feeling that way.","Affect","Self",NA,NA,NA,NA
"Difficulty in emotion regulation scale","13.When I’m upset, I have difficulty getting work done.","Affect","Overt Behavior",NA,NA,NA,NA
"Difficulty in emotion regulation scale","14.When I’m upset, I become out of control.","Affect","Overt Behavior",NA,NA,NA,NA
"Difficulty in emotion regulation scale","15.When I’m upset, I believe that I will remain that way for a long time","Affect","Cognition",NA,NA,NA,NA
"Difficulty in emotion regulation scale","16.When I’m upset, I believe that I’ll end up feeling very depressed .","Affect","Cognition",NA,NA,NA,NA
"Difficulty in emotion regulation scale","17.When I’m upset, I believe that my feelings are valid and important.","Affect","Self",NA,NA,NA,NA
"Difficulty in emotion regulation scale","18.When I’m upset, I have difficulty focusing on other things.","Affect","Attention",NA,NA,NA,NA
"Difficulty in emotion regulation scale","19.When I’m upset, I feel out of control.","Affect","Self",NA,NA,NA,NA
"Difficulty in emotion regulation scale","20.When I’m upset, I can still get things done.","Affect","Overt Behavior",NA,NA,NA,NA
"Difficulty in emotion regulation scale","21.When I’m upset, I feel ashamed with myself for feeling that way.","Affect","Self",NA,NA,NA,NA
"Difficulty in emotion regulation scale","22.When I’m upset, I know that I can find a way to eventually feel better.","Affect","Cognition",NA,NA,NA,NA
"Difficulty in emotion regulation scale","23.When I’m upset, I feel like I am weak.","Affect","Self",NA,NA,NA,NA
"Difficulty in emotion regulation scale","24.When I’m upset, I feel like I can remain in control of my behaviours.","Affect","Self",NA,NA,NA,NA
"Difficulty in emotion regulation scale","25.When I’m upset, I feel guilty for feeling that way.","Affect","Self",NA,NA,NA,NA
"Difficulty in emotion regulation scale","26.When I’m upset, I have difficulty concentrating.","Affect","Attention",NA,NA,NA,NA
"Difficulty in emotion regulation scale","27.When I’m upset, I have difficulty controlling my behaviours.","Affect","Overt Behavior",NA,NA,NA,NA
"Difficulty in emotion regulation scale","28.When I’m upset, I believe that there is nothing I can do to make myself feel better.","Affect","Cognition",NA,NA,NA,NA
"Difficulty in emotion regulation scale","29.When I’m upset, I become irritated with myself for feeling that way.","Affect","Self",NA,NA,NA,NA
"Difficulty in emotion regulation scale","30.When I’m upset, I start to feel very bad about myself.","Affect","Self",NA,NA,NA,NA
"Difficulty in emotion regulation scale","31.When I’m upset, I believe that wallowing in it is all I can do.","Affect","Cognition",NA,NA,NA,NA
"Difficulty in emotion regulation scale","32.When I’m upset, I lose control over my behaviours.","Affect","Overt Behavior",NA,NA,NA,NA
"Difficulty in emotion regulation scale","33.When I’m upset, I have difficulty thinking about anything else.","Affect","Attention",NA,NA,NA,NA
"Difficulty in emotion regulation scale","34.When I’m upset I take time to figure out what I’m really feeling.","Affect","Cognition",NA,NA,NA,NA
"Difficulty in emotion regulation scale","35.When I’m upset, it takes me a long time to feel better.","Affect","Cognition",NA,NA,NA,NA
"Difficulty in emotion regulation scale","36.When I’m upset, my emotions feel overwhelming.","Affect","Self ",NA,NA,NA,NA
"Dysfunctional attitude scale","""1.It is difficult to be,happy unless one is good looking, intelligent, rich and creative.""","Self","Cognition",NA,NA,NA,NA
"Dysfunctional attitude scale","""2.Happiness is more a matter of my attitude towards myself than the way other people feel about me.""","Self","Cognition",NA,NA,NA,NA
"Dysfunctional attitude scale","""3. People will probably think less of me if I make a mistake.""","Cognition","Context",NA,NA,NA,NA
"Dysfunctional attitude scale","""4.If I do not do well all the time, people will not respect me.""","Cognition","Context",NA,NA,NA,NA
"Dysfunctional attitude scale","""5. Taking even a small risk is foolish because the loss is likely to be a disaster.""","Cognition","Affect",NA,NA,NA,NA
"Dysfunctional attitude scale","""6.It is possible to gain another person's respect without being especially talented at anything.""","Cognition","Self",NA,NA,NA,NA
"Dysfunctional attitude scale","""7.I cannot be happy unless most people I know admire me""","Affect","Self",NA,NA,NA,NA
"Dysfunctional attitude scale","""8.If a person asks for help, it is a sign of weakness.""","Cognition","Self",NA,NA,NA,NA
"Dysfunctional attitude scale","""9.If I do not do as well as other people, it  means I am an inferior human being.""","Self","Cognition",NA,NA,NA,NA
"Dysfunctional attitude scale","""10.If I fail at my work, then I am a failure as a person.""","Self","Cognition",NA,NA,NA,NA
"Dysfunctional attitude scale","""11.If you cannot do something well, there is little point in doind it at all.""","Cognition","Motivation",NA,NA,NA,NA
"Dysfunctional attitude scale","""12. Making mistakes is fine because I can learn from them.""","Cognition","Self",NA,NA,NA,NA
"Dysfunctional attitude scale","""13.If someone disagrees with me it probably indicates he does not like me.""","Cognition","Context",NA,NA,NA,NA
"Dysfunctional attitude scale","""14.If I fail partly, it is as bad as being a complete failure.""","Cognition","Self",NA,NA,NA,NA
